Transports;other;ManAndConst;Electricity;ResidCom;year
28.94736842;13.15789474;29.11184211;9.046052632;19.90131579;1960
27.54662841;11.33428981;34.43328551;7.74748924;18.93830703;1961
31.50492264;11.39240506;30.23909986;11.11111111;15.75246132;1962
29.4344473;10.41131105;34.70437018;9.640102828;15.68123393;1963
26.48845687;9.842041312;35.4799514;13.24422843;14.94532199;1964
25.77319588;9.851088202;35.50973654;15.23482245;13.63115693;1965
30.02336449;10.28037383;35.63084112;8.761682243;15.18691589;1966
29.31034483;9.913793103;34.80603448;10.66810345;15.19396552;1967
28.92307692;9.641025641;31.58974359;17.02564103;12.82051282;1968
28.91918208;9.542356378;34.17721519;14.99513145;12.3661149;1969
27.65625;8.59375;33.4375;19.453125;10.859375;1970
27.03266157;6.60180681;32.73106324;22.51563586;11.11883252;1971
29.16093535;7.290233838;32.25584594;20.70151307;10.5914718;1972
29.21556516;7.04138357;32.73625695;21.12415071;9.820877085;1973
28.45873786;6.067961165;34.58737864;22.14805825;8.737864078;1974
29.57824639;5.660377358;31.57602664;24.86126526;8.324084351;1975
27.8179938;4.395036194;32.31644261;27.45604964;8.014477766;1976
29.86666667;4.586666667;35.57333333;20.53333333;9.333333333;1977
29.01265823;5.113924051;36.35443038;20.15189873;9.367088608;1978
28.56489945;4.616087751;34.59780622;24.40585009;7.861060329;1979
28.51727043;4.212299916;32.51895535;27.42207245;7.329401853;1980
28.14636108;3.940490551;29.99597909;31.52392441;6.393244873;1981
29.37697161;4.100946372;30.32334385;29.77129338;6.427444795;1982
27.9248178;4.487917146;28.42347526;33.41004987;5.792098197;1983
28.24610467;4.634438674;29.12504994;31.00279664;6.991610068;1984
27.80100334;5.058528428;31.10367893;28.59531773;7.399665552;1985
26.06461087;4.552129222;25.29368576;37.44493392;6.644640235;1986
28;4.396396396;25.2972973;34.63063063;7.63963964;1987
29.60138648;4.367417678;26.62045061;32.23570191;7.175043328;1988
24.40075411;3.474279558;21.51898734;45.24643146;5.332615136;1989
25.58078141;3.933474129;21.27771911;43.53220697;5.702217529;1990
26.20916688;3.823752849;21.06862497;43.25145606;5.672322107;1991
25.80793032;3.369241348;18.65688746;46.48177859;5.661242264;1992
27.75299366;3.38107537;18.29067856;44.54097206;6.034280347;1993
28.25;3.318181818;19.43181818;43.11363636;5.931818182;1994
27.34011012;3.028377806;17.34434562;46.35747565;5.929690809;1995
30.1940891;5.183061315;19.23246581;39.01632113;6.374062638;1996
30.06756757;4.117398649;19.59459459;39.80152027;6.418918919;1997
29.81748319;3.458213256;20.07684918;40.71085495;5.95581172;1998
27.82251156;3.220832619;18.21140997;45.45143053;5.276683228;1999
30.44605809;3.665283541;18.79322268;41.5802213;5.515214385;2000
30.91444406;2.459300312;17.63075857;41.32317284;7.689643228;2001
29.96108949;2.059014267;16.45590143;43.90402075;7.61997406;2002
34.14762742;2.126537786;15.21968366;40.72056239;7.785588752;2003
34.22818792;2.736189985;13.8358286;41.66236448;7.554637756;2004
31.07381457;2.541958612;12.61202542;45.57601434;8.179892456;2005
33.68775474;2.108807372;13.25536062;43.36345915;7.602339181;2006
35.09703405;2.306847309;14.5184914;40.58952765;7.488099597;2007
36.40666414;2.139341159;13.38508141;41.32904203;6.720939038;2008
35.71428571;2.073124764;12.19374293;42.83829627;7.18055032;2009
38.94847529;2.565720294;13.88012618;36.7192429;7.886435331;2010
36.54336735;2.380952381;13.43537415;40.68877551;6.930272109;2011
34.66929479;2.277704774;12.24266316;44.30573806;6.526500219;2012
35.67345072;2.538303224;12.30276698;42.96821404;6.517265035;2013
36.6970334;2.68628825;12.91754263;41.11188975;6.563886942;2014
