Time,CountryName,CountryCode,Literacy,Internetuse,SecureServers,GDPCapita
1990,Marshall Islands,MHL,..,0,..,1659.182206
1990,Mauritania,MRT,..,0,..,502.2317528
1990,Mauritius,MUS,79.86866,0,..,2506.179312
1990,Mexico,MEX,87.55615,0,..,3060.685213
1990,"Micronesia, Fed. Sts.",FSM,..,0,..,1528.064694
1990,Moldova,MDA,..,0,..,..
1990,Monaco,MCO,..,0,..,84286.69635
1990,Mongolia,MNG,..,0,..,1172.443066
1990,Montenegro,MNE,..,..,..,..
1990,Morocco,MAR,..,0,..,1202.567531
1990,Mozambique,MOZ,..,0,..,189.6245382
1990,Myanmar,MMR,..,0,..,..
1990,Namibia,NAM,..,0,..,1969.1668
1990,Nauru,NRU,..,0,..,..
1990,Nepal,NPL,..,0,..,193.4761241
1990,Netherlands,NLD,..,0.334386942,..,21019.12567
1990,New Caledonia,NCL,..,0,..,14800.02869
1990,New Zealand,NZL,..,0,..,13670.20069
1990,Nicaragua,NIC,..,0,..,243.5612625
1990,Niger,NER,..,0,..,309.5864505
1990,Nigeria,NGA,..,0,..,567.1859158
1990,Northern Mariana Islands,MNP,..,0,..,..
1990,Norway,NOR,..,0.707299448,..,28242.94374
1990,Oman,OMN,..,0,..,6448.131243
1990,Pakistan,PAK,..,0,..,371.5726219
1990,Palau,PLW,..,0,..,..
1990,Panama,PAN,88.77986,0,..,2603.781289
1990,Papua New Guinea,PNG,..,0,..,746.5073779
1990,Paraguay,PRY,..,0,..,1379.323775
1990,Peru,PER,..,0,..,1210.005978
1990,Philippines,PHL,93.5739,0,..,715.3105853
1990,Poland,POL,..,0,..,1731.209531
1990,Portugal,PRT,..,0,..,7885.394019
1990,Puerto Rico,PRI,89.6225,0,..,8652.507492
1990,Qatar,QAT,..,0,..,15448.66548
1990,Romania,ROU,..,0,..,1680.705623
1990,Russian Federation,RUS,..,0,..,3485.112306
1990,Rwanda,RWA,..,0,..,352.4401342
1990,Samoa,WSM,..,0,..,772.2070276
1990,San Marino,SMR,..,0,..,..
1990,Sao Tome and Principe,STP,..,0,..,..
1990,Saudi Arabia,SAU,..,0,..,7204.728651
1990,Senegal,SEN,..,0,..,957.8437769
1990,Serbia,SRB,..,..,..,..
1990,Seychelles,SYC,..,0,..,5302.843727
1990,Sierra Leone,SLE,..,0,..,150.6511518
1990,Singapore,SGP,89.096,0,..,11864.28021
1990,Sint Maarten (Dutch part),SXM,..,..,..,..
1990,Slovak Republic,SVK,..,0,..,2395.564582
1990,Slovenia,SVN,..,0,..,..
1990,Solomon Islands,SLB,..,0,..,970.0969308
1990,Somalia,SOM,..,0,..,..
1990,South Africa,ZAF,..,0,..,3076.455387
1990,South Sudan,SSD,..,..,..,..
1990,Spain,ESP,..,0.012873564,..,13767.38147
1990,Sri Lanka,LKA,..,0,..,463.5132257
1990,St. Kitts and Nevis,KNA,..,0,..,5320.539447
1990,St. Lucia,LCA,..,0,..,3733.975444
1990,St. Martin (French part),MAF,..,..,..,..
1990,St. Vincent and the Grenadines,VCT,..,0,..,2235.851938
1990,Sudan,SDN,..,0,..,478.8012635
1990,Suriname,SUR,..,0,..,953.1943299
1990,Sweden,SWE,..,0.584192066,..,30162.31577
1990,Switzerland,CHE,..,0.595714223,..,38428.3855
1990,Syrian Arab Republic,SYR,..,0,..,988.9486722
1990,Tajikistan,TJK,..,0,..,497.6401257
1990,Tanzania,TZA,..,0,..,172.0447984
1990,Thailand,THA,..,0,..,1508.285774
1990,Timor-Leste,TLS,..,0,..,..
1990,Togo,TGO,..,0,..,430.0114381
1990,Tonga,TON,..,0,..,1193.486507
1990,Trinidad and Tobago,TTO,96.93855,0,..,4147.638923
1990,Tunisia,TUN,..,0,..,1492.878809
1990,Turkey,TUR,79.23245,0,..,2794.353551
1990,Turkmenistan,TKM,..,0,..,865.7896521
1990,Turks and Caicos Islands,TCA,..,0,..,..
1990,Tuvalu,TUV,..,0,..,980.1674709
1990,Uganda,UGA,..,0,..,246.8273307
1990,Ukraine,UKR,..,0,..,1569.738988
1990,United Arab Emirates,ARE,..,0,..,27256.29094
1990,United Kingdom,GBR,..,0.087355319,..,19095.467
1990,United States,USA,..,0.784728502,..,23954.47935
1990,Uruguay,URY,..,0,..,2989.991172
1990,Uzbekistan,UZB,..,0,..,651.4192061
1990,Vanuatu,VUT,..,0,..,1080.222889
1990,"Venezuela, RB",VEN,89.82525,0,..,2446.80411
1990,Vietnam,VNM,..,0,..,94.88019767
1990,Virgin Islands (U.S.),VIR,..,0,..,15050.54714
1990,West Bank and Gaza,PSE,..,0,..,..
1990,"Yemen, Rep.",YEM,..,0,..,468.3670036
1990,Zambia,ZMB,64.99826,0,..,409.2579854
1990,Zimbabwe,ZWE,..,0,..,862.5865882
1990,Arab World,ARB,54.36569,0,..,1988.567858
1990,Caribbean small states,CSS,..,0,..,2982.45805
1990,Central Europe and the Baltics,CEB,98.33477,0,..,2315.132605
1990,Early-demographic dividend,EAR,58.67016,0.000245373,..,893.193415
1990,East Asia & Pacific,EAS,82.00383,0.00725637,..,2598.122069
1990,East Asia & Pacific (excluding high income),EAP,79.79885,0,..,413.2063951
1990,East Asia & Pacific (IDA & IBRD countries),TEA,79.52593,0,..,417.6446468
1990,Euro area,EMU,97.37944,0.072459123,..,18829.02041
1990,Europe & Central Asia,ECS,96.894,0.048049244,..,10480.53734
1990,Europe & Central Asia (excluding high income),ECA,95.58887,0,..,2421.041226
1990,Europe & Central Asia (IDA & IBRD countries),TEC,95.93623,0,..,2383.717259
1990,European Union,EUU,97.79302,0.069155331,..,15842.9357
1990,Fragile and conflict affected situations,FCS,57.11448,0,..,..
1990,Heavily indebted poor countries (HIPC),HPC,45.66152,0,..,377.8529763
1990,High income,HIC,..,0.252175628,..,18368.16771
1990,IBRD only,IBD,73.29665,0,..,994.1652098
1990,IDA & IBRD total,IBT,69.48651,0,..,878.2445251
1990,IDA blend,IDB,61.01534,0,..,523.2399004
1990,IDA only,IDX,47.62294,0,..,341.7678859
1990,IDA total,IDA,52.92686,0,..,404.8950884
1990,Late-demographic dividend,LTE,82.11533,0,..,1098.290718
1990,Latin America & Caribbean,LCN,84.51249,0,..,2648.218781
1990,Latin America & Caribbean (excluding high income),LAC,83.96974,0,..,2429.444842
1990,Latin America & the Caribbean (IDA & IBRD countries),TLA,84.00739,0,..,2579.515052
1990,Least developed countries: UN classification,LDC,45.09105,0,..,312.4443015
1990,Low & middle income,LMY,69.28267,0,..,834.3257304
1990,Low income,LIC,46.36885,0,..,334.9137251
1990,Lower middle income,LMC,57.80083,0,..,481.0971858
1990,Middle East & North Africa,MEA,57.83767,0.001947688,..,2151.39381
1990,Middle East & North Africa (excluding high income),MNA,55.44763,0,..,..
1990,Middle East & North Africa (IDA & IBRD countries),TMN,55.20591,0,..,..
1990,Middle income,MIC,70.85745,0,..,880.6193281
1990,North America,NAC,..,0.742692503,..,23696.37127
1990,Not classified,INX,..,..,..,..
1990,OECD members,OED,..,0.24375088,..,17445.32656
1990,Other small states,OSS,73.51784,0,..,3112.115742
1990,Pacific island small states,PSS,..,0,..,1429.109211
1990,Post-demographic dividend,PST,..,0.27048706,..,19034.57321
1990,Pre-demographic dividend,PRE,51.26995,0,..,464.9578652
1990,Small states,SST,77.32752,0,..,2965.325051
1990,South Asia,SAS,45.42505,0,..,355.6162399
